Tweet_ID,User_Name,Mentioned_User_Name,Author_Of_Original_Tweet,created_at,Location,Followers_Count,Following_Count,Listed_Count,Reply_Count,Quote_Count,Favourites_Count,Statuses_Count,Verified,Account_Creation_Date,Retweet_Count,In_Reply_to_user,Type_of_Tweet,Source,Text
1.35727E+18,MarcTeresha,['GM'],GM,Thu Feb 04 09:52:05 +0000 2021,,7,194,0,0,0,1925,361,FALSE,Mon Jun 29 05:58:51 +0000 2020,0,,Retweet,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
1.35727E+18,MereteRasch,['GM'],GM,Thu Feb 04 09:51:10 +0000 2021,"Furesø, Danmark",243,389,5,0,0,15865,4206,FALSE,Sat Jan 14 20:46:57 +0000 2012,0,,Retweet,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
1.35727E+18,Jenn1964Hussey,['simonahac'],GM,Thu Feb 04 09:50:00 +0000 2021, Ngarrindjeri Country ,2680,4521,108,0,0,168587,199806,FALSE,Mon May 14 10:58:39 +0000 2012,0,,Quote,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @simonahac: ok, this move to electric vehicles? it's moving much faster* than you think. #EVerybodyIn 

*elsewhere

[there goes the week…"
1.35726E+18,fladdle,['fladdle'],GM,Thu Feb 04 09:49:21 +0000 2021,"On stolen Kulin land, Victoria",317,137,21,0,0,12957,36774,FALSE,Sat Nov 01 00:06:31 +0000 2008,0,,Quote,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","We need this attitude in Australia. 😂

#EVerybodyIn #NoWayNorway #ElectricVehicles #auspol https://t.co/BCUzqth25A"
1.35726E+18,gatcon1,['simonahac'],GM,Thu Feb 04 09:49:15 +0000 2021,,816,673,18,0,0,16326,47972,FALSE,Thu Apr 25 03:36:19 +0000 2013,0,,Quote,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @simonahac: ok, this move to electric vehicles? it's moving much faster* than you think. #EVerybodyIn 

*elsewhere

[there goes the week…"
1.35726E+18,BobShtoive,['GM'],GM,Thu Feb 04 09:46:10 +0000 2021,,5,30,0,0,0,428,471,FALSE,Sat Jan 20 09:09:39 +0000 2018,0,,Retweet,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
1.35726E+18,roadie24yt,['GM'],GM,Thu Feb 04 09:45:36 +0000 2021,"Straubing, Deutschland",83,457,1,0,0,30157,1742,FALSE,Wed Aug 12 19:50:21 +0000 2020,0,,Retweet,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
1.35726E+18,mkiefer01,['GM'],GM,Thu Feb 04 09:45:32 +0000 2021,Hinnerup / Denmark,186,51,28,0,0,85,4087,FALSE,Mon May 06 20:59:27 +0000 2013,0,,Retweet,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
1.35726E+18,edie02303038,['GM'],GM,Thu Feb 04 09:44:50 +0000 2021,A climate rogue state,118,303,0,0,0,10901,1941,FALSE,Thu May 14 04:06:05 +0000 2020,0,,Retweet,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
1.35726E+18,MargaretHollin1,['GM'],GM,Thu Feb 04 09:44:19 +0000 2021,"Wurundjeri Land, Victoria",3299,4998,99,0,0,45810,251230,FALSE,Tue May 14 02:55:57 +0000 2013,0,,Retweet,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
